cif,a,b,c,alpha,beta,gamma,sg,cs
1508981,14.5949,14.5949,14.5949,90.0,90.0,90.0,220,6
1508982,3.666,3.666,3.666,90.0,90.0,90.0,221,6
1508983,3.872,3.872,3.872,90.0,90.0,90.0,221,6
1508984,6.3623,6.3623,6.3623,90.0,90.0,90.0,227,6
1508985,3.806,3.806,3.806,90.0,90.0,90.0,221,6
1508986,10.76,10.76,10.76,90.0,90.0,90.0,227,6
1508987,3.68,3.68,3.68,90.0,90.0,90.0,221,6
1508989,3.629,3.629,3.629,90.0,90.0,90.0,221,6
1508990,3.239,3.239,3.239,90.0,90.0,90.0,221,6
1508991,5.761,12.171,8.342,90.0,92.26,90.0,14,1
1508992,7.645,15.04,7.881,90.0,90.0,90.0,62,2
1508993,3.54,3.54,3.54,90.0,90.0,90.0,221,6
1508994,3.595,3.595,3.595,90.0,90.0,90.0,221,6
1508996,4.2088,4.2088,6.8956,90.0,90.0,120.0,186,5
1508997,3.984,3.984,3.984,90.0,90.0,90.0,221,6
1508998,3.116,4.89,4.779,90.0,90.0,90.0,63,2
1508999,4.405,4.405,10.914,90.0,90.0,90.0,139,3
1509000,4.2732,4.2732,4.2012,90.0,90.0,120.0,191,5
1509001,4.2291,4.2291,14.6374,90.0,90.0,90.0,141,3
1509002,13.37,4.05,14.71,90.0,99.5,90.0,12,1
1509003,3.51,3.51,3.51,90.0,90.0,90.0,221,6
1509004,4.35,4.35,4.141,90.0,90.0,120.0,191,5
1509005,4.167,4.167,4.167,90.0,90.0,90.0,221,6
1509009,4.322,4.322,11.052,90.0,90.0,90.0,139,3
1509010,10.2898,10.2898,5.7334,90.0,90.0,120.0,173,5
1509012,6.19,6.19,10.085,90.0,90.0,120.0,194,5
1509013,4.2394,4.2394,4.2348,90.0,90.0,120.0,191,5
1509014,4.24,4.24,4.116,90.0,90.0,120.0,191,5
1509015,6.3317,6.3317,6.3317,90.0,90.0,90.0,225,6
1509016,4.303,4.303,11.067,90.0,90.0,90.0,139,3
1509018,4.133,4.133,4.036,90.0,90.0,120.0,191,5
1509019,4.196,4.196,4.095,90.0,90.0,120.0,191,5
1509020,4.203,4.203,4.465,90.0,90.0,120.0,191,5
1509021,4.306,4.306,4.276,90.0,90.0,120.0,191,5
1509022,4.4846,4.4846,7.2355,90.0,90.0,120.0,164,4
1509023,3.798,3.798,8.755,90.0,90.0,90.0,139,3
1509025,11.742,3.667,8.738,90.0,90.48,90.0,12,1
1509026,4.193,4.193,11.794,90.0,90.0,90.0,139,3
1509027,4.2352,4.2352,14.6983,90.0,90.0,90.0,141,3
1509029,4.0725,4.0725,4.0725,90.0,90.0,90.0,221,6
1509030,5.7676,5.7676,10.8272,90.0,90.0,90.0,112,3
1509032,3.24,3.24,3.24,90.0,90.0,90.0,229,6
1509033,4.14,4.14,4.14,90.0,90.0,90.0,225,6
1509034,4.1556,4.1556,4.1556,90.0,90.0,90.0,225,6
1509037,4.343,4.343,11.61,90.0,90.0,90.0,139,3
1509038,4.062,4.062,4.062,90.0,90.0,90.0,225,6
1509039,4.5899,7.2479,7.889,90.0,90.0,90.0,74,2
1509040,4.617,4.617,10.755,90.0,90.0,90.0,139,3
1509042,7.49,7.49,4.29,90.0,90.0,120.0,176,5
1509044,6.47,6.47,6.47,90.0,90.0,90.0,225,6
1509045,4.107,4.107,4.107,90.0,90.0,90.0,225,6
1509048,4.5408,4.5408,7.5727,90.0,90.0,120.0,164,4
1509049,11.77,3.6748,8.7394,90.0,90.537,90.0,12,1
1509050,4.0755,4.0755,4.0755,90.0,90.0,90.0,221,6
1509053,4.439,4.439,4.443,90.0,90.0,120.0,191,5
1509054,11.006,11.006,11.006,90.0,90.0,90.0,227,6
1509056,4.058,4.058,4.058,90.0,90.0,90.0,225,6
1509057,4.085,4.085,4.085,90.0,90.0,90.0,225,6
1509060,4.1087,4.1087,4.1087,90.0,90.0,90.0,225,6
1509061,6.4592,6.4469,6.459,91.77,91.57,91.72,2,0
1509062,4.0868,4.0868,4.0868,90.0,90.0,90.0,225,6
1509063,3.4676,3.4676,6.2247,90.0,90.0,120.0,164,4
1509065,4.0427,4.0427,4.0427,90.0,90.0,90.0,225,6
1509066,4.0447,4.0447,4.0447,90.0,90.0,90.0,225,6
1509069,3.721,3.721,3.721,90.0,90.0,90.0,225,6
1509071,5.632,5.632,5.632,90.0,90.0,90.0,225,6
1509073,3.334,3.334,26.09,90.0,90.0,120.0,186,5
1509076,4.2788,4.2788,10.848,90.0,90.0,90.0,139,3
1509077,3.978,3.978,3.978,90.0,90.0,90.0,225,6
1509078,5.68,5.68,5.68,90.0,90.0,90.0,216,6
1509079,3.62,3.62,3.62,90.0,90.0,90.0,225,6
1509080,10.4263,10.4263,10.4263,90.0,90.0,90.0,212,6
1509081,6.25,6.25,6.25,90.0,90.0,90.0,216,6
1509084,7.915,7.915,7.915,90.0,90.0,90.0,227,6
1509085,8.17,8.17,8.17,90.0,90.0,90.0,227,6
1509086,4.2131,4.2131,14.2804,90.0,90.0,90.0,141,3
1509088,2.96,2.96,2.96,90.0,90.0,90.0,229,6
1509089,10.783,10.783,10.783,90.0,90.0,90.0,227,6
1509091,4.43,4.43,5.986,90.0,90.0,90.0,119,3
1509092,3.99,3.99,3.99,90.0,90.0,90.0,221,6
1509093,4.528,4.528,11.453,90.0,90.0,90.0,139,3
1509096,6.451,6.451,6.451,90.0,90.0,90.0,216,6
1509097,3.1945,3.1945,5.1806,90.0,90.0,120.0,194,5
1509098,5.785,5.785,5.785,90.0,90.0,90.0,225,6
1509099,6.26,6.26,6.26,90.0,90.0,90.0,225,6
1509101,9.0707,7.7868,8.0386,65.828,65.047,74.22,2,0
1509102,10.864,10.864,10.864,90.0,90.0,90.0,227,6
1509103,3.838,3.838,19.564,90.0,90.0,90.0,139,3
1509104,5.9288,5.9288,12.744,90.0,90.0,120.0,163,4
1509106,3.4275,3.4275,6.3977,90.0,90.0,120.0,164,4
1509107,3.766,7.101,10.49,101.8,100.25,105.34,2,0
1509108,4.142,4.142,8.654,90.0,90.0,90.0,123,3
1509110,8.304,8.304,8.643,90.0,90.0,120.0,187,5
1509111,3.0863,3.0863,4.8177,90.0,90.0,120.0,194,5
1509112,4.02,4.02,4.02,90.0,90.0,90.0,225,6
1509113,4.438,4.438,7.224,90.0,90.0,120.0,194,5
1509114,5.42,5.42,5.42,90.0,90.0,90.0,216,6
1509115,3.742,3.742,3.711,90.0,90.0,90.0,123,3
1509116,10.736,10.736,10.736,90.0,90.0,90.0,227,6
1509117,7.14,7.14,7.14,90.0,90.0,90.0,225,6
1509119,3.911,3.911,3.911,90.0,90.0,90.0,225,6
1509121,3.382,3.382,3.382,90.0,90.0,90.0,229,6
1509124,2.791,2.791,3.687,90.0,90.0,90.0,123,3
1509125,4.1224,4.1224,6.7363,90.0,90.0,120.0,186,5
1509127,3.732,3.732,3.944,90.0,90.0,90.0,123,3
1509128,3.66,3.66,3.66,90.0,90.0,90.0,221,6
1509129,3.533,3.533,3.533,90.0,90.0,90.0,221,6
1509130,6.271,6.271,12.5024,90.0,90.0,90.0,122,3
1509138,3.345,3.345,3.345,90.0,90.0,90.0,221,6
1509147,7.9738,4.1067,11.135,90.0,104.17,90.0,11,1
1509148,12.573,4.0,8.041,90.0,110.98,90.0,12,1
1509150,13.83,4.04,14.72,90.0,97.5,90.0,12,1
1509151,5.7403,5.7403,5.7403,90.0,90.0,90.0,225,6
1509152,9.648,4.661,9.426,90.0,90.0,90.0,51,2
1509154,3.981,3.981,11.07,90.0,90.0,90.0,129,3
1509155,9.183,9.392,14.328,95.85,102.04,114.3,2,0
1509156,13.355,13.355,13.355,90.0,90.0,90.0,201,6
1509157,19.9,4.5767,5.9487,90.0,90.0,90.0,63,2
1509158,16.431,4.7679,6.3627,90.0,90.0,90.0,62,2
1509159,24.122,4.7275,6.2617,90.0,90.0,90.0,62,2
1509163,4.058,11.457,4.654,90.0,90.0,90.0,63,2
1509164,4.563,7.18,7.866,90.0,90.0,90.0,74,2
1509165,7.708,4.59,8.393,90.0,90.0,90.0,62,2
1509167,3.3147,3.3147,3.3147,90.0,90.0,90.0,221,6
1509168,3.309,3.309,3.309,90.0,90.0,90.0,221,6
1509170,3.215,3.215,3.215,90.0,90.0,90.0,229,6
1509171,3.267,3.267,3.267,90.0,90.0,90.0,221,6
1509172,3.3248,3.3248,3.3248,90.0,90.0,90.0,221,6
1509173,3.295,3.295,3.295,90.0,90.0,90.0,229,6
1509176,6.31,6.31,6.31,90.0,90.0,90.0,216,6
1509179,8.275,7.0815,6.7214,90.0,90.0,90.0,31,2
1509180,8.4049,7.1934,6.8434,90.0,90.0,90.0,31,2
1509181,10.48,10.48,8.326,90.0,90.0,120.0,176,5
1509182,10.52,10.52,8.286,90.0,90.0,120.0,176,5
1509183,3.78,3.78,3.78,90.0,90.0,90.0,221,6
1509184,3.739,3.739,3.811,90.0,90.0,90.0,123,3
1509186,6.967,6.967,6.967,90.0,90.0,90.0,225,6
1509188,4.5442,4.5442,7.7108,90.0,90.0,120.0,186,5
1509189,7.294,7.294,7.294,90.0,90.0,90.0,225,6
1509190,4.836,4.836,7.67,90.0,90.0,120.0,194,5
1509191,4.3641,4.3641,10.722,90.0,90.0,90.0,129,3
1509192,4.784,4.784,7.749,90.0,90.0,120.0,194,5
1509193,8.623,8.623,8.623,90.0,90.0,90.0,220,6
1509196,7.575,6.97,9.792,90.0,90.0,90.0,62,2
1509197,7.19,7.39,10.32,90.0,90.0,90.0,62,2
1509198,6.24,6.24,6.24,90.0,90.0,90.0,216,6
1509200,3.915,3.915,20.376,90.0,90.0,120.0,166,4
1509201,5.7586,5.7852,21.066,90.0,90.0,90.0,57,2
1509202,4.0121,4.0516,10.5012,90.0,90.0,90.0,59,2
1509205,4.076,4.076,4.076,90.0,90.0,90.0,225,6
1509206,6.35,6.35,6.35,90.0,90.0,90.0,216,6
1509207,8.95,4.478,14.62,90.0,145.35,90.0,13,1
1509208,6.2963,6.2963,6.2963,90.0,90.0,90.0,221,6
1509209,5.229,11.008,5.515,90.0,94.91,90.0,14,1
1509210,8.089,5.312,6.752,90.0,90.0,90.0,62,2
1509211,6.6995,6.6995,4.0116,90.0,90.0,90.0,85,3
1509213,3.0,3.0,3.0,90.0,90.0,90.0,225,6
1509216,8.3078,4.7935,6.4493,90.0,90.0,90.0,62,2
1509217,8.324,4.8279,6.4737,90.0,90.0,90.0,62,2
1509218,8.5542,4.9205,6.5794,90.0,90.0,90.0,62,2
1509219,4.953,4.953,9.146,90.0,90.0,120.0,194,5
1509220,17.34,4.014,8.509,90.0,103.23,90.0,12,1
1509221,11.0684,12.3127,5.9109,90.0,90.0,90.0,19,2
1509223,16.154,11.108,10.914,90.0,90.0,90.0,62,2
1509225,4.239,14.03,10.636,90.0,90.0,90.0,63,2
1509226,4.4773,14.856,11.336,90.0,90.0,90.0,63,2
1509228,6.287,6.287,6.287,90.0,90.0,90.0,227,6
1509231,5.81,5.81,5.81,90.0,90.0,90.0,225,6
1509233,6.118,6.118,6.118,90.0,90.0,90.0,225,6
1509234,3.971,13.712,8.824,90.0,90.0,90.0,63,2
1509235,6.737,6.737,6.737,90.0,90.0,90.0,227,6
1509236,6.736,6.736,6.736,90.0,90.0,90.0,216,6
1509237,5.641,5.641,16.118,90.0,90.0,120.0,148,4
1509238,8.221,12.968,7.16,91.83,116.8,90.1,2,0
1509239,5.74,5.74,5.74,90.0,90.0,90.0,225,6
1509240,5.695,5.695,5.695,90.0,90.0,90.0,225,6
1509241,6.004,6.004,6.004,90.0,90.0,90.0,225,6
1509242,5.71,5.71,5.71,90.0,90.0,90.0,225,6
1509243,4.876,4.876,8.48,90.0,90.0,120.0,194,5
1509244,6.144,6.144,6.144,90.0,90.0,90.0,225,6
1509245,4.24,4.24,20.67,90.0,90.0,120.0,166,4
1509263,8.197,8.197,6.257,90.0,90.0,90.0,85,3
1509264,4.3736,19.199,5.685,90.0,90.0,90.0,63,2
1509266,10.892,10.892,10.892,90.0,90.0,90.0,227,6
1509267,3.487,3.487,20.52,90.0,90.0,120.0,160,4
1509268,10.683,10.683,10.683,90.0,90.0,90.0,227,6
1509269,10.478,10.478,10.478,90.0,90.0,90.0,227,6
1509270,10.44,10.44,10.44,90.0,90.0,90.0,227,6
1509271,3.691,3.691,21.22,90.0,90.0,120.0,160,4
1509272,10.942,10.942,10.942,90.0,90.0,90.0,227,6
1509273,15.175,7.414,6.014,90.0,90.0,90.0,62,2
1509274,11.371,11.371,11.371,90.0,90.0,90.0,227,6
1509275,6.489,6.489,8.52,90.0,90.0,90.0,140,3
1509276,7.338,7.564,10.554,90.0,90.0,90.0,62,2
1509277,10.84,10.84,10.84,90.0,90.0,90.0,227,6
1509278,10.79,10.79,10.79,90.0,90.0,90.0,227,6
1509279,10.89,10.89,10.89,90.0,90.0,90.0,227,6
1509280,10.25,10.25,6.17,90.0,90.0,90.0,87,3
1509281,10.243,10.243,6.168,90.0,90.0,90.0,119,3
1509282,10.243,10.243,6.168,90.0,90.0,90.0,139,3
1509283,5.855,9.09,13.885,90.0,90.0,90.0,19,2
1509284,4.581,4.581,14.192,90.0,90.0,90.0,139,3
1509285,9.175,9.175,9.175,90.0,90.0,90.0,225,6
1509286,6.11,14.473,25.25,90.0,90.0,90.0,70,2
1509287,5.846,13.943,24.241,90.0,90.0,90.0,70,2
1509289,6.0756,2.8088,5.8728,90.0,107.987,90.0,12,1
1509290,5.8657,2.8062,6.077,90.0,108.106,90.0,14,1
1509291,7.5,15.751,5.702,90.0,90.0,90.0,61,2
1509292,6.1295,6.1295,6.1295,90.0,90.0,90.0,225,6
1509293,6.29,6.29,6.29,90.0,90.0,90.0,225,6
1509294,3.12,4.05,6.875,90.0,90.0,90.0,25,2
1509295,3.623,3.623,3.623,90.0,90.0,90.0,221,6
1509297,7.1056,7.1056,4.196,90.0,90.0,120.0,189,5
1509299,4.744,4.744,7.415,90.0,90.0,120.0,194,5
1509300,4.2656,4.2656,10.4545,90.0,90.0,90.0,129,3
1509301,4.691,4.691,7.337,90.0,90.0,120.0,194,5
1509302,8.315,8.315,8.315,90.0,90.0,90.0,220,6
1509303,3.574,3.574,3.574,90.0,90.0,90.0,221,6
1509304,7.0634,7.0634,4.1727,90.0,90.0,120.0,189,5
1509306,9.86,10.67,7.2,90.0,127.0,90.0,12,1
1509307,4.721,4.721,7.38,90.0,90.0,120.0,194,5
1509308,5.512,5.512,5.512,90.0,90.0,90.0,225,6
1509309,5.744,5.744,5.744,90.0,90.0,90.0,225,6
1509310,6.87,13.79,4.17,90.0,90.0,90.0,19,2
1509311,4.661,4.661,7.291,90.0,90.0,120.0,194,5
1509312,8.037,4.764,6.258,90.0,90.0,90.0,62,2
1509313,7.774,4.63,8.988,90.0,90.0,90.0,62,2
1509314,12.8284,5.2815,5.282,90.0,90.0,90.0,57,2
1509315,8.467,8.467,12.745,90.0,90.0,90.0,120,3
1509316,7.809,5.7,5.832,106.17,111.58,96.62,2,0
1509317,9.351,6.991,7.801,90.0,115.73,90.0,12,1
1509318,9.044,5.596,5.198,118.76,91.53,102.42,2,0
1509319,3.34,4.57,4.65,90.0,84.5,90.0,14,1
1509320,5.073,5.529,5.813,90.0,90.0,90.0,61,2
1509322,6.186,6.27,8.3,90.0,90.0,90.0,123,3
1509323,6.335,6.335,8.44,90.0,90.0,90.0,140,3
1509325,5.9,5.9,11.15,90.0,90.0,90.0,140,3
1509327,7.5508,7.5508,7.5508,90.0,90.0,90.0,225,6
1509328,5.023,5.085,9.976,89.61,103.13,120.9,2,0
1509329,17.535,7.8465,15.675,90.0,102.652,90.0,15,1
1509330,9.7985,9.7985,9.7985,90.0,90.0,90.0,206,6
1509332,5.204,5.253,5.632,115.67,89.3,118.78,2,0
1509333,4.9949,4.9949,9.6051,90.0,90.0,90.0,132,3
1509334,5.16,5.161,5.675,116.98,91.27,118.47,2,0
1509335,12.085,12.684,6.498,90.0,114.535,90.0,15,1
1509336,13.975,5.249,7.609,90.0,90.0,90.0,33,2
1509337,5.66,5.66,10.3,90.0,90.0,90.0,122,3
1509338,7.6,7.6,5.69,90.0,90.0,120.0,164,4
1509339,3.3,3.3,3.3,90.0,90.0,90.0,221,6
1509340,6.0138,6.0138,11.1238,90.0,90.0,90.0,122,3
1509341,5.9889,5.9889,11.0328,90.0,90.0,90.0,122,3
1509342,3.171,3.171,3.171,90.0,90.0,90.0,221,6
1509343,12.028,22.918,6.874,90.0,90.0,90.0,43,2
1509344,6.289,6.289,6.289,90.0,90.0,90.0,227,6
1509346,12.169,22.484,7.473,90.0,90.0,90.0,61,2
1509347,6.375,6.375,13.32,90.0,90.0,120.0,163,4
1509349,8.031,8.014,6.221,90.0,128.42,90.0,9,1
1509350,5.67,5.67,5.67,90.0,90.0,90.0,216,6
1509351,5.973,5.973,10.88,90.0,90.0,90.0,122,3
1509353,5.853,5.853,10.82,90.0,90.0,90.0,122,3
1509354,6.288,6.288,11.94,90.0,90.0,90.0,122,3
1509355,5.693,5.693,5.693,90.0,90.0,90.0,216,6
1509356,4.226,4.226,10.859,90.0,90.0,90.0,139,3
1509357,3.672,3.672,3.672,90.0,90.0,90.0,221,6
1509361,7.1654,7.1654,4.2341,90.0,90.0,120.0,189,5
1509362,4.769,4.769,7.475,90.0,90.0,120.0,194,5
1509364,8.01,8.01,12.45,90.0,90.0,90.0,109,3
1509365,4.712,4.712,7.435,90.0,90.0,120.0,194,5
1509366,8.382,8.382,8.382,90.0,90.0,90.0,220,6
1509367,8.74,8.74,8.74,90.0,90.0,90.0,220,6
1509368,7.0862,7.0862,4.1864,90.0,90.0,120.0,189,5
1509369,4.5587,4.5587,7.8969,90.0,90.0,120.0,186,5
1509370,11.064,4.671,14.171,90.0,98.64,90.0,12,1
1509371,7.1221,7.1221,4.1221,90.0,90.0,120.0,189,5
1509372,5.01599,5.01599,5.01599,90.0,90.0,90.0,229,6
1509373,4.4833,4.4833,7.3252,90.0,90.0,120.0,194,5
1509374,7.0747,7.7318,8.4753,90.0,90.0,90.0,19,2
1509375,10.1585,4.6477,9.8487,90.0,90.0,90.0,51,2
1509377,3.6,3.6,3.6,90.0,90.0,90.0,221,6
1509381,5.762,5.762,5.762,90.0,90.0,90.0,225,6
1509382,4.672,4.672,7.318,90.0,90.0,120.0,191,5
1509384,5.106,5.106,5.106,90.0,90.0,90.0,229,6
1509385,4.31,4.31,4.31,90.0,90.0,90.0,221,6
1509386,6.067,6.067,6.067,90.0,90.0,90.0,225,6
1509387,4.58,4.58,6.0,90.0,90.0,90.0,129,3
1509389,7.265,15.17,5.786,90.0,90.0,90.0,29,2
1509390,5.379,5.379,12.037,90.0,90.0,90.0,88,3
1509391,8.34,8.34,7.66,90.0,90.0,90.0,140,3
1509392,10.258,4.886,20.063,90.0,90.0,90.0,62,2
1509393,10.443,10.443,19.935,90.0,90.0,120.0,148,4
1509395,6.572,6.572,6.572,90.0,90.0,90.0,216,6
1509396,3.353,3.353,12.694,90.0,90.0,120.0,194,5
1509397,3.2768,3.2768,18.8779,90.0,90.0,120.0,166,4
1509398,10.44,5.87,5.07,90.0,90.0,90.0,13,1
1509399,6.483,6.483,13.33,90.0,90.0,120.0,163,4
1509400,5.816,5.816,11.17,90.0,90.0,90.0,122,3
1509401,4.12,4.12,6.67,90.0,90.0,120.0,186,5
1509403,6.9972,8.2733,6.6939,90.0,90.0,90.0,33,2
1509406,5.6,5.6,5.6,90.0,90.0,90.0,225,6
1509408,6.092,6.092,11.64,90.0,90.0,90.0,122,3
1509410,5.96,5.96,5.96,90.0,90.0,90.0,225,6
1509411,6.23,6.23,6.23,90.0,90.0,90.0,216,6
1509412,6.4672,6.4672,12.6331,90.0,90.0,90.0,122,3
1509415,6.881,6.881,5.62,90.0,90.0,90.0,140,3
1509417,10.8265,10.8265,10.8265,90.0,90.0,90.0,227,6
1509418,5.7934,5.7934,11.6223,90.0,90.0,90.0,111,3
1509419,13.953,4.955,8.22,90.0,97.76,90.0,14,1
1509420,9.91,9.91,5.46,90.0,90.0,90.0,82,3
1509421,9.925,9.925,5.458,90.0,90.0,90.0,139,3
1509422,9.893,9.893,5.445,90.0,90.0,90.0,119,3
1509423,7.49,13.175,6.037,90.0,94.32,90.0,14,1
1509424,4.52,4.52,7.59,90.0,90.0,90.0,129,3
1509425,10.348,10.522,7.946,90.0,90.0,90.0,34,2
1509426,5.807,12.939,22.296,90.0,90.0,90.0,70,2
1509427,5.972,13.302,23.099,90.0,90.0,90.0,70,2
1509429,3.814,3.814,3.814,90.0,90.0,90.0,221,6
1509430,3.8996,3.8996,21.688,90.0,90.0,90.0,139,3
1509432,4.067,4.067,9.063,90.0,90.0,90.0,129,3
1509434,3.7472,3.7472,13.2755,90.0,90.0,90.0,129,3
1509435,3.894,3.894,21.564,90.0,90.0,90.0,139,3
1509436,4.872,4.872,7.85,90.0,90.0,120.0,194,5
1509437,4.359,4.359,10.787,90.0,90.0,90.0,129,3
1509438,4.799,4.799,7.777,90.0,90.0,120.0,194,5
1509439,10.576,10.576,5.987,90.0,90.0,120.0,173,5
1509441,8.699,8.699,8.699,90.0,90.0,90.0,220,6
1509442,6.607,6.607,6.607,90.0,90.0,90.0,225,6
1509443,6.678,6.678,6.678,90.0,90.0,90.0,227,6
1509444,6.678,6.678,6.678,90.0,90.0,90.0,216,6
1509445,6.583,6.583,6.583,90.0,90.0,90.0,216,6
1509447,6.565,6.565,6.565,90.0,90.0,90.0,225,6
1509448,6.552,6.552,6.552,90.0,90.0,90.0,216,6
1509450,6.671,6.671,6.671,90.0,90.0,90.0,227,6
1509451,5.479,5.479,5.479,90.0,90.0,90.0,225,6
1509452,3.1814,3.1814,3.1814,90.0,90.0,90.0,221,6
1509453,3.218,3.218,3.218,90.0,90.0,90.0,221,6
1509454,3.2595,3.2595,3.2595,90.0,90.0,90.0,221,6
1509455,3.23,3.23,3.23,90.0,90.0,90.0,221,6
1509459,7.661,7.661,4.138,90.0,90.0,120.0,189,5
1509460,7.26,7.26,7.26,90.0,90.0,90.0,225,6
1509461,7.194,7.194,7.194,90.0,90.0,90.0,225,6
1509463,4.0195,4.0195,4.0195,90.0,90.0,90.0,221,6
1509467,17.45,4.585,9.129,90.0,118.75,90.0,12,1
1509468,6.995,7.328,10.118,90.0,90.0,90.0,61,2
1509469,7.899,10.847,10.697,90.0,90.0,90.0,22,2
1509470,8.05,10.77,10.76,90.0,90.0,90.0,70,2
1509471,7.913,10.721,10.857,90.0,90.0,90.0,43,2
1509472,14.195,5.039,8.304,90.0,96.99,90.0,14,1
1509473,9.52,9.52,4.599,90.0,90.0,90.0,119,3
1509474,9.52,9.52,4.617,90.0,90.0,90.0,139,3
1509475,5.463,10.926,5.926,90.0,90.0,90.0,72,2
1509476,6.38,12.581,6.896,90.0,90.0,90.0,72,2
1509477,3.9286,3.9259,3.9302,90.0,90.49,90.0,221,6
1509478,5.931,13.57,23.54,90.0,90.0,90.0,70,2
1509479,3.73,3.73,3.73,90.0,90.0,90.0,221,6
1509482,4.816,4.816,7.611,90.0,90.0,120.0,191,5
1509483,4.244,4.244,4.138,90.0,90.0,120.0,191,5
1509484,8.52,8.52,8.52,90.0,90.0,90.0,220,6
1509487,6.833,6.833,9.122,90.0,90.0,90.0,88,3
1509488,5.852,3.478,5.495,90.0,107.5,90.0,15,1
1509489,10.086,10.086,5.792,90.0,90.0,90.0,119,3
1509490,10.025,10.025,5.67,90.0,90.0,90.0,139,3
1509492,4.759,6.843,8.063,90.44,92.8,104.88,2,0
1509494,3.1075,3.1075,18.721,90.0,90.0,120.0,166,4
1509495,3.2306,3.2306,12.3771,90.0,90.0,120.0,194,5
1509496,3.5177,3.5177,12.4425,90.0,90.0,120.0,194,5
1509497,18.106,3.5787,8.043,90.0,104.44,90.0,12,1
1509498,10.437,9.897,5.532,90.0,99.69,90.0,15,1
1509499,10.218,10.218,7.848,90.0,90.0,120.0,173,5
1509500,12.781,6.307,10.754,90.0,90.0,90.0,52,2
1509504,6.2167,5.0587,7.8059,90.0,113.48,90.0,14,1
1509505,6.755,10.684,5.921,90.0,106.62,90.0,13,1
1509506,6.3399,11.02,6.9819,90.0,106.82,90.0,5,1
1509507,4.1247,4.1247,6.692,90.0,90.0,120.0,164,4
1509509,4.89,4.89,7.23,90.0,90.0,120.0,191,5
1509510,3.9766,3.9766,3.9766,90.0,90.0,90.0,225,6
1509511,3.78,3.78,3.78,90.0,90.0,90.0,221,6
1509513,8.567,8.567,8.567,90.0,90.0,90.0,220,6
1509514,8.894,8.894,8.894,90.0,90.0,90.0,220,6
1509515,3.983,3.983,3.983,90.0,90.0,90.0,225,6
1509516,3.9,3.9,3.9,90.0,90.0,90.0,221,6
1509517,5.809,8.927,13.435,90.0,90.0,90.0,19,2
1509518,8.229,10.857,10.346,90.0,91.55,90.0,14,1
1509519,5.82,13.359,23.184,90.0,90.0,90.0,70,2
1509520,5.995,13.7,23.927,90.0,90.0,90.0,70,2
1509521,5.602,5.602,5.602,90.0,90.0,90.0,225,6
1509522,5.506,5.506,5.506,90.0,90.0,90.0,225,6
1509523,5.501,5.501,5.501,90.0,90.0,90.0,225,6
1509524,5.356,5.356,11.803,90.0,90.0,90.0,141,3
1509525,5.491,5.491,5.491,90.0,90.0,90.0,225,6
1509527,3.3755,14.0608,7.7486,90.0,90.0,90.0,36,2
1509528,3.3755,14.0608,7.7486,90.0,90.0,90.0,63,2
1509529,8.444,8.444,8.444,90.0,90.0,90.0,220,6
1509530,8.35,8.35,8.35,90.0,90.0,90.0,220,6
1509531,5.94,5.94,5.94,90.0,90.0,90.0,225,6
1509532,5.74,5.74,5.74,90.0,90.0,90.0,225,6
1509533,4.762,4.762,8.532,90.0,90.0,120.0,194,5
1509534,6.06,6.06,6.06,90.0,90.0,90.0,225,6
1509536,7.6693,4.591,8.3755,90.0,90.0,90.0,62,2
1509537,3.412,3.412,3.412,90.0,90.0,90.0,221,6
1509538,5.65,5.65,5.65,90.0,90.0,90.0,216,6
1509539,7.4756,4.6375,8.69,90.0,90.0,90.0,62,2
1509540,5.68,5.68,5.68,90.0,90.0,90.0,225,6
1509541,9.7,9.7,8.25,90.0,90.0,120.0,162,4
1509542,5.78,5.78,5.78,90.0,90.0,90.0,225,6
1509543,6.932,6.932,4.118,90.0,90.0,120.0,189,5
1509544,3.673,3.673,3.673,90.0,90.0,90.0,221,6
1509545,4.732,4.732,7.495,90.0,90.0,120.0,194,5
1509546,4.688,4.688,7.368,90.0,90.0,120.0,191,5
1509548,6.04,6.04,6.04,90.0,90.0,90.0,225,6
1509549,4.791,4.791,7.256,90.0,90.0,120.0,194,5
1509550,4.792,4.792,10.873,90.0,90.0,120.0,187,5
1509552,3.625,3.625,3.625,90.0,90.0,90.0,221,6
1509555,3.612,3.612,3.626,90.0,90.0,90.0,123,3
1509556,8.775,7.763,4.867,90.0,90.0,90.0,62,2
1509558,3.92,3.92,15.22,90.0,90.0,90.0,119,3
1509559,8.645,8.645,5.272,90.0,90.0,120.0,160,4
1509560,7.591,7.591,5.844,90.0,90.0,90.0,140,3
1509561,2.902,2.902,4.077,90.0,90.0,90.0,123,3
1509562,4.187,4.187,3.95,90.0,90.0,90.0,123,3
1509563,3.55,3.55,3.55,90.0,90.0,90.0,221,6
1509564,3.61,3.61,3.61,90.0,90.0,90.0,221,6
1509566,7.59,4.67,6.031,90.0,90.0,90.0,62,2
1509567,3.088,3.088,3.088,90.0,90.0,90.0,221,6
1509568,3.11,3.11,3.11,90.0,90.0,90.0,229,6
1509569,3.468,3.468,6.603,90.0,90.0,90.0,129,3
1509570,3.2464,3.2464,12.0037,90.0,90.0,90.0,139,3
1509571,4.566,4.566,3.986,90.0,90.0,90.0,123,3
1509572,9.404,9.404,9.404,90.0,90.0,90.0,204,6
