cif,a,b,c,alpha,beta,gamma,sg,cs
2002328,8.09,8.09,8.09,90.0,90.0,90.0,216,6
2002332,5.612,5.612,5.612,90.0,90.0,90.0,223,6
2002333,6.042,6.042,24.85899,90.0,90.0,120.0,146,4
2002335,10.3189,10.3189,10.3189,90.0,90.0,90.0,216,6
2002336,5.592,5.592,21.965,90.0,90.0,120.0,194,5
2002337,5.595,5.595,21.82999,90.0,90.0,120.0,194,5
2002338,6.4574,8.5096,11.1867,90.0,90.73,90.0,14,1
2002340,6.7569,6.7569,5.91191,90.0,90.0,90.0,117,3
2002342,9.9705,9.9705,9.9705,90.0,90.0,90.0,199,6
2002343,10.0039,10.0039,10.0039,90.0,90.0,90.0,199,6
2002346,7.382,7.382,23.48999,90.0,90.0,120.0,194,5
2002349,17.59999,17.59999,3.33,90.0,90.0,120.0,176,5
2002351,4.219,4.219,4.219,90.0,90.0,90.0,221,6
2002353,12.4441,12.4441,8.4153,90.0,90.0,90.0,142,3
2002354,12.4189,12.4189,8.4657,90.0,90.0,90.0,142,3
2002355,14.2,3.65,9.0,90.0,100.0,90.0,12,1
2002356,4.7219,4.7219,9.15,90.0,90.0,90.0,136,3
2002359,5.0545,8.7688,14.3041,90.0,90.0,90.0,60,2
2002360,4.712,4.712,9.191,90.0,90.0,90.0,136,3
2002361,4.71,17.103,5.072,90.0,90.0,90.0,60,2
2002363,3.906,10.201,14.99,90.0,90.0,90.0,38,2
2002364,10.488,8.198,9.682,90.0,118.66,90.0,4,1
2002365,12.597,12.597,3.99,90.0,90.0,90.0,100,3
2002366,9.7301,7.377,6.687,90.0,90.0,90.0,62,2
2002367,5.8034,5.8034,24.99699,90.0,90.0,120.0,194,5
2002368,3.9001,10.2225,14.9737,90.0,90.0,90.0,38,2
2002369,3.911,10.2,14.955,90.0,90.0,90.0,38,2
2002374,7.2834,12.4053,5.7436,90.0,90.0,90.0,62,2
2002375,17.655,17.655,3.3478,90.0,90.0,120.0,173,5
2002376,17.51549,17.51549,3.3098,90.0,90.0,120.0,173,5
2002377,3.8062,5.875,11.56,90.0,90.0,90.0,71,2
2002378,3.786,5.828,11.48,90.0,90.0,90.0,71,2
